# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.301761121792833098e+00, 3.943106649103781947e-01, 9.285791325985861544e-01, 7.477470740478275868e-01
-2.181602200767905231e+00, 3.150965713988350125e-01, 9.224137937876097926e-01, 7.573748824241341993e-01
-2.055187165104979563e+00, 2.433952400145214801e-01, 9.146211808656277142e-01, 7.686383312018925107e-01
-1.923347499480634326e+00, 1.797102797089686343e-01, 9.059777577404329874e-01, 7.823903458331413763e-01
-1.786985211920344208e+00, 1.243616765865969143e-01, 8.970319848922141404e-01, 7.947857951377516050e-01
-1.647034349282147314e+00, 7.750384473232994897e-02, 8.856105758603227684e-01, 8.053009777265872637e-01
-1.504130069367893174e+00, 3.885521190317461210e-02, 8.719226076841529727e-01, 8.163710549993583587e-01
-1.358336672803883705e+00, 7.492160623766092042e-03, 8.560775437971983592e-01, 8.266495161427666050e-01
-1.209788413623160697e+00, -1.717235577059564311e-02, 8.381016860566790072e-01, 8.354900123032482639e-01
-1.058856726363621936e+00, -3.564430956178982202e-02, 8.191379123711679533e-01, 8.433710236329855503e-01
-9.060517728569580376e-01, -4.858264865159025309e-02, 8.012447896535661584e-01, 8.513035998397859849e-01
-7.519505331382883018e-01, -5.678341520238010948e-02, 7.850296329569492748e-01, 8.581181662873722527e-01
-5.971400056290248060e-01, -6.116561019848897052e-02, 7.708617475582852929e-01, 8.641883086565742556e-01
-4.421835443368353213e-01, -6.271262334500021796e-02, 7.589391419506054115e-01, 8.698009836539266626e-01
-2.876030240271764127e-01, -6.240531560573758796e-02, 7.494815561769192502e-01, 8.751234931694480412e-01
-1.338641258101492815e-01, -6.115751287002868519e-02, 7.425079986324603087e-01, 8.801572374854825798e-01
